ComputerName,HardwareVendor,HardwareModel,device_os
LOFT-SPW-0701,Dell Inc.,Latitude 3490,Windows
LOFT-SPM-3502,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-SPM-3502,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-SPM-3507,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3507,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-0421,Dell Inc.,Latitude 3490,Windows
LOFT-SPM-3523,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3523,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3582,Dell Inc.,Latitude 3410,Windows
LOFT-SPM-3529,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3529,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3526,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-SPM-3526,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-SPM-3541,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3541,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3471,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3274,Dell Inc.,Latitude 3420,Windows
LOFT-SPM-3547,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3547,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3597,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-SPM-3597,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-SPM-3597,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-SPM-3594,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3594,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3594,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3305,Dell Inc.,Latitude 3420,Windows
LOFT-SPM-3576,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3576,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3576,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2089,Apple Inc.,"MacBookPro15,4",macOS
LOFT-SPM-2089,Apple Inc.,"MacBookPro15,4",macOS
LOFT-SPW-3145,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3058,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3060,Dell Inc.,Latitude 3420,Windows
LOFT-SPM-3592,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3592,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3057,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3099,Dell Inc.,Latitude 3420,Windows
LOFT-M3599,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-M3599,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-M3600,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-M3600,Apple Inc.,"MacBook Air (M1, 2020)",macOS
LOFT-SPW-3074,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3085,Dell Inc.,Latitude 3420,Windows
LOFT-M3572,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3572,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3073,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3098,Dell Inc.,Latitude 3420,Windows
LOFT-M3583,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3583,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3583,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3581,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3581,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3587,Apple Inc.,"MacBookPro16,1",macOS
