ComputerName,user_state,HardwareVendor,HardwareModel,device_os,Device Group
LOFT-W3678,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3685,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3522,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3644,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3666,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3716,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3603,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3538,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3612,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3717,,Dell Inc.,Latitude 3420,,GRP-BR-Windows-Dell
LOFT-W3572,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3668,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3670,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3042,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W2336,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3463,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3595,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2689,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3733,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2344,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3689,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0992,SUSPENDED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W3317,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2173,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3208,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3591,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3397,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3433,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2999,,Dell Inc.,Latitude 3410,,GRP-BR-Windows-Dell
LOFT-BMRW-9763,,Dell Inc.,Vostro 3400,Windows,GRP-BR-Windows-Dell
LOFT-W3565,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-L0740,ACTIVATED,Dell Inc.,Latitude 3400,Ubuntu,GRP-BR-Windows-Dell
LOFT-W3159,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3457,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3745,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3602,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3720,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3235,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3348,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3222,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3217,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W2116,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W3637,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3680,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3537,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3081,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3264,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3213,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3302,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3438,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3620,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0372,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W6014,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6040,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
